Company Name,Principle_1,Principle_2,Principle_3,Principle_4,Principle_5,Principle_6,Principle_7,Principle_8,Principle_9,Principle_10
Accenture,0.7177507877349854,0.7023822069168091,0.6221158504486084,0.6190367937088013,0.6954315900802612,0.6674702167510986,0.6795275211334229,0.6982201933860779,0.6791186928749084,0.6093934774398804
Adobe,0.566864013671875,0.510722279548645,0.5764067769050598,0.49982476234436035,0.6040105223655701,0.5326765775680542,0.5713223218917847,0.5758216381072998,0.6240227222442627,0.5158354043960571
Alphabet,0.6305943131446838,0.6642623543739319,0.6072582602500916,0.4950266182422638,0.7231272459030151,0.6073176860809326,0.6849136352539062,0.612064778804779,0.6682770252227783,0.5918542146682739
Amazon,0.5966750383377075,0.6816745400428772,0.5660901069641113,0.5016142129898071,0.6777152419090271,0.5104012489318848,0.6236841082572937,0.5919172167778015,0.6279090642929077,0.5968353748321533
Atos,0.7098029255867004,0.7186893224716187,0.6294260025024414,0.6435015201568604,0.7368598580360413,0.6546725034713745,0.6914426684379578,0.722562313079834,0.6923125982284546,0.6350332498550415
Capgemini,0.6640510559082031,0.6447361707687378,0.6539790630340576,0.599696159362793,0.7629047632217407,0.668192982673645,0.7066682577133179,0.7109570503234863,0.7196648120880127,0.6505459547042847
Cisco,0.6604955196380615,0.7701812982559204,0.6317492127418518,0.4997773766517639,0.7744747996330261,0.6698940396308899,0.7218757271766663,0.707748293876648,0.70189368724823,0.6718839406967163
Facebook,0.6686309576034546,0.6764324903488159,0.6585058569908142,0.5306881666183472,0.7621899843215942,0.7020330429077148,0.7244622707366943,0.6932147741317749,0.7054476737976074,0.6638221144676208
FUJIFILM,0.6006124019622803,0.490608274936676,0.6030007600784302,0.5692251920700073,0.5814371705055237,0.5798970460891724,0.5464684367179871,0.602530837059021,0.6130874752998352,0.5571273565292358
Fujitsu Ltd.,0.6491615772247314,0.5758298635482788,0.6753942370414734,0.6296467185020447,0.664728045463562,0.6080645322799683,0.63242506980896,0.6656022071838379,0.6501814126968384,0.6303802132606506
Hewlett Packard Enterprise,0.6849521398544312,0.7151791453361511,0.6306675672531128,0.5641240477561951,0.7645440101623535,0.7010414600372314,0.689422607421875,0.7151670455932617,0.7454414963722229,0.6346482634544373
HP,0.6849521398544312,0.7151791453361511,0.6306675672531128,0.5641240477561951,0.7645440101623535,0.7010414600372314,0.689422607421875,0.7151670455932617,0.7454414963722229,0.6346482634544373
IBM,0.6361242532730103,0.6385586261749268,0.6272794008255005,0.5342512726783752,0.7197668552398682,0.6692997217178345,0.6908364295959473,0.6880432367324829,0.6944708824157715,0.6181750297546387
Infosys,0.6890653371810913,0.6336390972137451,0.6347789764404297,0.5637489557266235,0.7263678908348083,0.6416375637054443,0.7417460083961487,0.6856539249420166,0.6739782094955444,0.6141859292984009
Intel,0.6825299859046936,0.6852003335952759,0.6228905916213989,0.6260546445846558,0.6681603789329529,0.643596351146698,0.6135358810424805,0.6650535464286804,0.7037380337715149,0.584205687046051
Leidos,0.5293517708778381,0.6932799220085144,0.5006677508354187,0.40911340713500977,0.5848976969718933,0.48572349548339844,0.5748317837715149,0.5251548290252686,0.5881462693214417,0.4788168668746948
Microsoft,0.6754884719848633,0.6854187250137329,0.6333572864532471,0.6045204401016235,0.7255088686943054,0.6715642213821411,0.6687016487121582,0.7235101461410522,0.6942243576049805,0.6570451259613037
Motorola Solutions,0.645216166973114,0.6573123335838318,0.5582187175750732,0.49562546610832214,0.6510438919067383,0.6216905117034912,0.6352317333221436,0.6066370606422424,0.6427579522132874,0.561447024345398
NEC,0.7021244764328003,0.6633745431900024,0.7433228492736816,0.5973048806190491,0.8081727027893066,0.6972857117652893,0.7475367784500122,0.7329092025756836,0.7744467854499817,0.7443907260894775
Nokia,0.7713427543640137,0.7512542009353638,0.754461407661438,0.6844871640205383,0.8136227130889893,0.7166001796722412,0.8237043619155884,0.8019785284996033,0.795444130897522,0.7328605055809021
NXP Semiconductors,0.7276566028594971,0.708972692489624,0.643622636795044,0.6058616638183594,0.7798627614974976,0.7304478883743286,0.6942356824874878,0.7412669658660889,0.7574195265769958,0.645112156867981
"OKI Electric Industry Co., Ltd.",0.6342655420303345,0.5913683176040649,0.7044892311096191,0.615138828754425,0.7295655608177185,0.6128525733947754,0.6491762399673462,0.6958208084106445,0.6711114048957825,0.6775968074798584
Salesforce,0.6991846561431885,0.7419458627700806,0.7346044778823853,0.6087573766708374,0.7905941605567932,0.6938520073890686,0.7863116264343262,0.7459256052970886,0.7721015810966492,0.7350110411643982
Samsung Electronics,0.683491587638855,0.6012434363365173,0.744147539138794,0.6972535848617554,0.7396266460418701,0.6399989128112793,0.6782258152961731,0.7404080033302307,0.723707914352417,0.6942043900489807
SAP,0.6998921632766724,0.6376795172691345,0.658172070980072,0.6426142454147339,0.7351850271224976,0.6937428712844849,0.6886888742446899,0.7379972338676453,0.7138017416000366,0.6561582088470459
SONY,0.6026930809020996,0.49758240580558777,0.5793454647064209,0.5289213061332703,0.5841206908226013,0.5512613654136658,0.5496042966842651,0.6142538785934448,0.6026365756988525,0.5274931192398071
Tieto,0.703826904296875,0.6304103136062622,0.678932249546051,0.5989604592323303,0.7245964407920837,0.700373649597168,0.688561737537384,0.7238283753395081,0.7599163055419922,0.6559450030326843
Workday,0.5990424752235413,0.5663667917251587,0.580661416053772,0.5290005207061768,0.6556897759437561,0.5772384405136108,0.6110519170761108,0.5999687910079956,0.6478404998779297,0.5562673807144165
DeepMind,0.7539936900138855,0.6971173286437988,0.6958871483802795,0.6371817588806152,0.7924049496650696,0.7510093450546265,0.7826187610626221,0.7348753213882446,0.7997235059738159,0.6791511178016663
Baidu,0.7329304218292236,0.6585417985916138,0.6854779720306396,0.6547783017158508,0.7522758841514587,0.7191044688224792,0.6865283250808716,0.7657032012939453,0.7477962970733643,0.6684858798980713
SenseTime,0.6853563785552979,0.7156521081924438,0.5806597471237183,0.5139364004135132,0.7949299812316895,0.6591611504554749,0.700414776802063,0.7196826934814453,0.6604467630386353,0.639743983745575
Babylon,0.5876001119613647,0.4811042249202728,0.520369291305542,0.4705740809440613,0.552218496799469,0.6419736742973328,0.5614959001541138,0.5533474683761597,0.557049572467804,0.5365509986877441
DataRobot,0.5893344283103943,0.7129354476928711,0.5138847827911377,0.45812106132507324,0.6564738750457764,0.5204733610153198,0.6471977233886719,0.5773323774337769,0.6078061461448669,0.5279889106750488
Argo AI,0.1896440088748932,0.17399758100509644,0.20627149939537048,0.20089887082576752,0.19260148704051971,0.14802758395671844,0.24261066317558289,0.22061918675899506,0.16355036199092865,0.2243858426809311
BMW Group,0.6538164615631104,0.6303501725196838,0.6600273251533508,0.5798815488815308,0.7185158729553223,0.6581197381019592,0.6910082101821899,0.7040557265281677,0.6878170967102051,0.6360544562339783
Adarga,0.668009877204895,0.6101289391517639,0.6671104431152344,0.5664107799530029,0.7110235095024109,0.7032486796379089,0.7136561870574951,0.7260582447052002,0.7070311903953552,0.6358472108840942
Dataiku,0.5675798654556274,0.5277396440505981,0.5711460113525391,0.5287305116653442,0.5708332657814026,0.5318387150764465,0.6024928689002991,0.6259565353393555,0.5686476826667786,0.5512480735778809
AT&T,0.7020767331123352,0.6700810790061951,0.6645452380180359,0.6052871942520142,0.727990984916687,0.670732319355011,0.7491217255592346,0.7084412574768066,0.7066441774368286,0.6722474098205566
Deutsche Telekom,0.7126724720001221,0.6141389608383179,0.668563723564148,0.6013045310974121,0.7135603427886963,0.7382547855377197,0.6739593148231506,0.7106953263282776,0.7362878918647766,0.5960260033607483
Telefónica,0.6805127859115601,0.6259150505065918,0.7020845413208008,0.617900550365448,0.7360995411872864,0.6294360160827637,0.7218196988105774,0.6697702407836914,0.6897940039634705,0.6664939522743225
Vodafone,0.5513055920600891,0.5591164231300354,0.581386923789978,0.4853051006793976,0.6232094764709473,0.5320660471916199,0.5924423933029175,0.5537492036819458,0.5830742120742798,0.5512915253639221
"Nippon Telegraph and Telephone
",0.6638244390487671,0.6985132098197937,0.700769305229187,0.6402860879898071,0.7643823623657227,0.5552676320075989,0.6781516075134277,0.6390178203582764,0.6953728795051575,0.7102161645889282
Softbank Group,0.7332167625427246,0.671150803565979,0.7281720638275146,0.6407604813575745,0.7748203277587891,0.6436222791671753,0.7157902717590332,0.682989776134491,0.7434138059616089,0.7077863216400146
Cohere,0.5330651998519897,0.6395677328109741,0.539548397064209,0.4141118824481964,0.5959445834159851,0.5314646363258362,0.5655387043952942,0.574219822883606,0.5768345594406128,0.5623449683189392
Moveworks,0.5297853946685791,0.6713941693305969,0.5747703313827515,0.4322664737701416,0.7022501230239868,0.5366514325141907,0.6284014582633972,0.5686734318733215,0.5902520418167114,0.5978525876998901
Boston Consulting Group (Gamma),0.6144769787788391,0.5790550112724304,0.5814180970191956,0.5419231653213501,0.6584972143173218,0.5849917531013489,0.6111512184143066,0.6509292125701904,0.6094699501991272,0.60805344581604
Deloitte,0.6908699870109558,0.7405999898910522,0.6463677287101746,0.5648301839828491,0.7947204113006592,0.6915306448936462,0.7693030834197998,0.7404133081436157,0.7054988145828247,0.6874834299087524
Price waterhouse Coopers (PwC),0.7505287528038025,0.7277510166168213,0.6491946578025818,0.6519342660903931,0.7503006458282471,0.7085914015769958,0.7220227718353271,0.7184722423553467,0.7453572750091553,0.6271891593933105
Deeper Insights,0.7126739025115967,0.7127336859703064,0.6691052913665771,0.6360809206962585,0.738506555557251,0.6820605397224426,0.6972744464874268,0.7339135408401489,0.7590559124946594,0.6412361860275269
